Company Name;Exchange:Ticker;Currency;Market Cap (mm) [Latest]*†;Revenue (mm);% Price Change [Last Day];% Price Change [30 Day];% Price Change [YTD];% Price Change [12 Month];Price Close;P/E*†;P/BV*†;Primary Industry;cap_01012020;cap_11212020;% Change between Jan and Nov 2020
D.R. Horton, Inc.;NYSE:DHI;USD;27300;20311,1;(0.13%);2.59%;42.18%;37.44%;75;11.70x;2.31x;Homebuilding; 19.456 ; 27.300 ;40,3%
Danaher Corporation;NYSE:DHR;USD;160374,82;20392,1;(0.03%);(0.35%);47.09%;57.92%;225,76;52.63x;4.62x;Health Care Equipment; 110.521 ; 160.375 ;45,1%
Darden Restaurants, Inc.;NYSE:DRI;USD;14120,18;7200,4;(1.23%);11.01%;(0.51%);(5.49%);108,45;NM;6.02x;Restaurants; 13.365 ; 14.120 ;5,7%
DaVita Inc.;NYSE:DVA;USD;12303,2;11543,87;2.06%;22.59%;46.41%;51.52%;109,85;16.70x;7.78x;Health Care Services; 9.612 ; 12.303 ;28,0%
Deere & Company;NYSE:DE;USD;81026,18;35679;1.16%;9.37%;49.23%;50.26%;258,56;30.14x;6.21x;Agricultural and Farm Machinery; 54.278 ; 81.026 ;49,3%
Delta Air Lines, Inc.;NYSE:DAL;USD;23582,89;24561;(2.06%);17.87%;(36.51%);(33.30%);37,13;NM;7.17x;Airlines; 37.681 ; 23.583 ;-37,4%
DENTSPLY SIRONA Inc.;NasdaqGS:XRAY;USD;10796,63;3371,2;1.08%;8.17%;(12.71%);(12.77%);49,4;NM;2.24x;Health Care Supplies; 12.586 ; 10.797 ;-14,2%
Devon Energy Corporation;NYSE:DVN;USD;5033,7;4335;(2.95%);52.49%;(49.33%);(40.05%);13,16;NM;1.72x;Oil and Gas Exploration and Production; 9.975 ; 5.034 ;-49,5%
DexCom, Inc.;NasdaqGS:DXCM;USD;30332,24;1820,6;(4.47%);(18.56%);44.40%;42.71%;315,87;130.58x;21.17x;Health Care Equipment; 20.021 ; 30.332 ;51,5%
Diamondback Energy, Inc.;NasdaqGS:FANG;USD;6293,63;2992;1.01%;43.77%;(57.10%);(47.08%);39,84;NM;0.65x;Oil and Gas Exploration and Production; 14.899 ; 6.294 ;-57,8%
Digital Realty Trust, Inc.;NYSE:DLR;USD;39979,57;3550,94;(0.21%);(7.86%);19.17%;17.60%;142,7;65.63x;2.39x;Specialized REITs; 24.992 ; 39.980 ;60,0%
Discover Financial Services;NYSE:DFS;USD;22925,93;5769;(2.55%);23.43%;(11.81%);(9.73%);74,8;22.82x;2.56x;Consumer Finance; 26.588 ; 22.926 ;-13,8%
Discovery, Inc.;NasdaqGS:DISC.A;USD;16414,41;10659;1.86%;23.02%;(22.14%);(20.39%);25,49;14.12x;1.69x;Broadcasting; 21.834 ; 16.414 ;-24,8%
Discovery, Inc.;NasdaqGS:DISC.K;USD;16414,41;10659;1.60%;21.47%;(24.94%);(22.71%);22,89;12.68x;1.69x;Broadcasting; 21.834 ; 16.414 ;-24,8%
DISH Network Corporation;NasdaqGS:DISH;USD;17877,58;14176,94;0.09%;26.69%;(4.17%);(4.20%);33,99;13.84x;1.41x;Cable and Satellite; 18.547 ; 17.878 ;-3,6%
Dollar General Corporation;NYSE:DG;USD;52354,35;31281,73;(0.46%);(4.38%);34.78%;30.62%;210,23;22.88x;7.15x;General Merchandise Stores; 39.713 ; 52.354 ;31,8%
Dollar Tree, Inc.;NasdaqGS:DLTR;USD;22537,11;24625,9;0.44%;0.14%;0.98%;(11.46%);94,97;25.47x;3.29x;General Merchandise Stores; 22.258 ; 22.537 ;1,3%
Dominion Energy, Inc.;NYSE:D;USD;64164,17;16717;(1.39%);(1.97%);(5.04%);(5.13%);78,65;31.32x;2.72x;Multi-Utilities; 68.169 ; 64.164 ;-5,9%
Domino's Pizza, Inc.;NYSE:DPZ;USD;15326,9;3911,2;1.17%;(0.10%);32.60%;35.15%;389,56;33.34x;NM;Restaurants; 12.016 ; 15.327 ;27,6%
Dover Corporation;NYSE:DOV;USD;17793,88;6678,96;(0.96%);8.57%;7.13%;13.73%;123,48;26.90x;5.53x;Industrial Machinery; 16.743 ; 17.794 ;6,3%
Dow Inc.;NYSE:DOW;USD;40596,07;38040;(1.10%);12.73%;-;3.91%;54,73;NM;3.32x;Commodity Chemicals; 40.582 ; 40.596 ;0,0%
DTE Energy Company;NYSE:DTE;USD;25135,65;12037;0.15%;6.92%;(0.01%);4.64%;129,86;18.38x;2.04x;Multi-Utilities; 24.949 ; 25.136 ;0,7%
Duke Energy Corporation;NYSE:DUK;USD;68135,04;23773;0.96%;0.08%;1.50%;6.26%;92,58;33.81x;1.53x;Electric Utilities; 66.495 ; 68.135 ;2,5%
Duke Realty Corporation;NYSE:DRE;USD;14286,64;968,53;(0.72%);(0.31%);10.79%;9.15%;38,41;65.59x;2.86x;Industrial REITs; 12.744 ; 14.287 ;12,1%
DuPont de Nemours, Inc.;NYSE:DD;USD;45902,29;20349;0.81%;6.63%;(2.57%);(3.84%);62,55;NM;1.21x;Specialty Chemicals; 47.560 ; 45.902 ;-3,5%
DXC Technology Company;NYSE:DXC;USD;5459,68;18892;(2.59%);8.17%;(42.91%);(40.21%);21,46;NM;1.27x;IT Consulting and Other Services; 9.623 ; 5.460 ;-43,3%
Eastman Chemical Company;NYSE:EMN;USD;13082,53;8492;0.04%;13.12%;21.81%;25.60%;96,55;27.89x;2.15x;Diversified Chemicals; 10.779 ; 13.083 ;21,4%
Eaton Corporation plc;NYSE:ETN;USD;46995,22;18409;(0.61%);8.42%;23.94%;30.71%;117,4;34.50x;3.25x;Electrical Components and Equipment; 39.157 ; 46.995 ;20,0%
eBay Inc.;NasdaqGS:EBAY;USD;33770,69;11803;(1.59%);(7.25%);35.67%;40.53%;48,99;14.55x;11.75x;Internet and Direct Marketing Retail; 29.376 ; 33.771 ;15,0%
Ecolab Inc.;NYSE:ECL;USD;60131,88;14313,4;(0.13%);3.67%;9.16%;13.12%;210,66;50.72x;10.01x;Specialty Chemicals; 55.628 ; 60.132 ;8,1%
Edison International;NYSE:EIX;USD;23990,21;13391;(0.38%);7.33%;(15.95%);(10.63%);63,38;65.91x;1.75x;Electric Utilities; 27.042 ; 23.990 ;-11,3%
Edwards Lifesciences Corporation;NYSE:EW;USD;52683,18;4368,7;(0.83%);1.10%;8.70%;3.83%;84,53;66.82x;12.61x;Health Care Equipment; 48.657 ; 52.683 ;8,3%
Electronic Arts Inc.;NasdaqGS:EA;USD;35351,74;5590;1.44%;(4.53%);13.36%;24.21%;121,87;27.16x;4.31x;Interactive Home Entertainment; 31.391 ; 35.352 ;12,6%
Eli Lilly and Company;NYSE:LLY;USD;131898,56;23213,8;1.45%;2.96%;10.70%;26.94%;145,49;23.80x;26.93x;Pharmaceuticals; 126.190 ; 131.899 ;4,5%
Emerson Electric Co.;NYSE:EMR;USD;45427,08;16785;(1.66%);9.75%;(0.39%);4.41%;75,96;23.44x;5.50x;Electrical Components and Equipment; 46.588 ; 45.427 ;-2,5%
Entergy Corporation;NYSE:ETR;USD;21821,34;10205,84;0.01%;1.98%;(9.03%);(6.90%);108,98;15.81x;2.03x;Electric Utilities; 23.852 ; 21.821 ;-8,5%
EOG Resources, Inc.;NYSE:EOG;USD;26479,55;11295,03;(0.15%);29.24%;(45.81%);(37.01%);45,39;NM;1.32x;Oil and Gas Exploration and Production; 48.729 ; 26.480 ;-45,7%
Equifax Inc.;NYSE:EFX;USD;20878,8;3914,9;(1.13%);5.72%;22.50%;22.69%;171,64;47.47x;7.21x;Research and Consulting Services; 16.966 ; 20.879 ;23,1%
Equinix, Inc. (REIT);NasdaqGS:EQIX;USD;64876,75;5785,21;(0.34%);(9.34%);24.74%;28.02%;728,12;143.41x;6.17x;Specialized REITs; 49.777 ; 64.877 ;30,3%
Equity Residential;NYSE:EQR;USD;22543,66;2642,55;1.17%;19.90%;(25.16%);(30.12%);60,56;23.80x;2.13x;Residential REITs; 30.050 ; 22.544 ;-25,0%
Essex Property Trust, Inc.;NYSE:ESS;USD;16568,49;1626,84;(0.02%);27.09%;(15.54%);(20.27%);254,1;27.74x;2.72x;Residential REITs; 19.881 ; 16.568 ;-16,7%
Etsy, Inc.;NasdaqGS:ETSY;USD;17660,3;1378,27;4.13%;5.30%;216.16%;244.64%;140,06;75.23x;25.35x;Internet and Direct Marketing Retail; 5.249 ; 17.660 ;236,4%
Everest Re Group, Ltd.;NYSE:RE;USD;9236,07;8961,7;(1.17%);12.47%;(16.52%);(13.68%);231,1;13.99x;0.97x;Reinsurance; 11.290 ; 9.236 ;-18,2%
Evergy, Inc.;NYSE:EVRG;USD;12364,6;4950,6;1.53%;(2.47%);(16.25%);(16.11%);54,51;19.74x;1.38x;Electric Utilities; 14.834 ; 12.365 ;-16,6%
Eversource Energy;NYSE:ES;USD;30384,53;8720,88;0.50%;(3.75%);4.18%;7.43%;88,63;25.16x;2.16x;Electric Utilities; 27.542 ; 30.385 ;10,3%
Exelon Corporation;NasdaqGS:EXC;USD;40847,22;33267;(1.13%);(0.64%);(8.16%);(7.69%);41,87;17.23x;1.26x;Electric Utilities; 44.318 ; 40.847 ;-7,8%
Expedia Group, Inc.;NasdaqGS:EXPE;USD;16961,23;7026;(3.28%);29.34%;10.87%;27.13%;119,9;NM;10.74x;Internet and Direct Marketing Retail; 15.668 ; 16.961 ;8,3%
Expeditors International of Washington, Inc.;NasdaqGS:EXPD;USD;15062,95;8992,23;(1.43%);(5.11%);14.06%;17.90%;88,99;24.00x;6.11x;Air Freight and Logistics; 13.287 ; 15.063 ;13,4%
Extra Space Storage Inc.;NYSE:EXR;USD;14563,53;1357,03;0.06%;(2.31%);6.69%;5.35%;112,69;33.46x;6.08x;Specialized REITs; 13.679 ; 14.564 ;6,5%
Exxon Mobil Corporation;NYSE:XOM;USD;156190,97;195860;(1.23%);11.40%;(47.06%);(45.70%);36,94;47.51x;0.89x;Integrated Oil and Gas; 295.247 ; 156.191 ;-47,1%
F5 Networks, Inc.;NasdaqGS:FFIV;USD;9924,88;2350,82;0.57%;26.43%;15.37%;12.22%;161,11;32.16x;-;Communications Equipment; 8.490 ; 9.925 ;16,9%
Facebook, Inc.;NasdaqGS:FB;USD;768184,53;78975;(1.19%);(3.24%);31.40%;36.55%;269,7;30.72x;6.61x;Interactive Media and Services; 585.321 ; 768.185 ;31,2%
Fastenal Company;NasdaqGS:FAST;USD;27152,72;5566,2;(1.42%);7.65%;28.01%;34.15%;47,3;32.40x;9.54x;Trading Companies and Distributors; 21.192 ; 27.153 ;28,1%
Federal Realty Investment Trust;NYSE:FRT;USD;6791,6;847,76;(1.11%);21.70%;(30.26%);(31.44%);89,78;38.68x;3.17x;Retail REITs; 9.722 ; 6.792 ;-30,1%
FedEx Corporation;NYSE:FDX;USD;72656,58;71490;(1.13%);(1.98%);82.98%;81.71%;276,69;40.74x;3.78x;Air Freight and Logistics; 39.484 ; 72.657 ;84,0%
Fidelity National Information Services, Inc.;NYSE:FIS;USD;89458,76;12578;(2.39%);1.95%;3.65%;4.87%;144,17;NM;1.87x;Data Processing and Outsourced Services; 85.485 ; 89.459 ;4,6%
Fifth Third Bancorp;NasdaqGS:FITB;USD;18017,1;6667;(2.28%);7.62%;(17.73%);(15.02%);25,29;12.63x;0.88x;Regional Banks; 21.815 ; 18.017 ;-17,4%
First Republic Bank;NYSE:FRC;USD;22564,82;3582,28;(1.77%);1.45%;10.60%;19.59%;129,9;23.20x;2.35x;Regional Banks; 19.793 ; 22.565 ;14,0%
FirstEnergy Corp.;NYSE:FE;USD;15192,53;10735;(3.58%);(13.39%);(42.39%);(40.26%);28;24.83x;-;Electric Utilities; 26.259 ; 15.193 ;-42,1%
Fiserv, Inc.;NasdaqGS:FISV;USD;75806,42;15065;0.04%;13.80%;(2.21%);(1.98%);113,07;85.92x;2.39x;Data Processing and Outsourced Services; 78.616 ; 75.806 ;-3,6%
FLEETCOR Technologies, Inc.;NYSE:FLT;USD;21178,17;2470,4;(2.44%);2.28%;(11.74%);(15.64%);253,93;30.56x;7.39x;Data Processing and Outsourced Services; 24.969 ; 21.178 ;-15,2%
FLIR Systems, Inc.;NasdaqGS:FLIR;USD;4987,43;1888,4;1.17%;6.62%;(26.96%);(28.60%);38,03;36.48x;2.73x;Electronic Equipment and Instruments; 6.985 ; 4.987 ;-28,6%
Flowserve Corporation;NYSE:FLS;USD;4286,97;3816,16;(3.35%);12.67%;(33.88%);(31.74%);32,91;29.33x;2.65x;Industrial Machinery; 6.513 ; 4.287 ;-34,2%
FMC Corporation;NYSE:FMC;USD;14759,88;4687,2;(1.36%);6.57%;13.96%;17.17%;113,75;26.09x;5.08x;Fertilizers and Agricultural Chemicals; 12.938 ; 14.760 ;14,1%
Ford Motor Company;NYSE:F;USD;34771,46;130907;(0.91%);11.34%;(6.02%);0.11%;8,74;NM;1.06x;Automobile Manufacturers; 36.874 ; 34.771 ;-5,7%
Fortinet, Inc.;NasdaqGS:FTNT;USD;19174,66;2457,7;0.93%;(9.12%);10.64%;15.30%;118,12;44.10x;26.63x;Systems Software; 18.260 ; 19.175 ;5,0%
Fortive Corporation;NYSE:FTV;USD;24048,81;7189,4;(0.01%);8.36%;(6.64%);1.74%;71,32;47.86x;3.13x;Industrial Machinery; 25.652 ; 24.049 ;-6,3%
Fortune Brands Home & Security, Inc.;NYSE:FBHS;USD;11733,92;5901,1;(0.76%);(1.69%);29.26%;36.34%;84,46;24.00x;4.50x;Building Products; 9.092 ; 11.734 ;29,1%
Fox Corporation;NasdaqGS:FOX;USD;16468,68;12353;0.62%;2.58%;(24.62%);(21.59%);27,44;10.44x;1.53x;Broadcasting; 22.830 ; 16.469 ;-27,9%
Fox Corporation;NasdaqGS:FOXA;USD;16468,68;12353;0.43%;4.74%;(24.93%);(22.46%);27,83;10.59x;1.53x;Broadcasting; 22.830 ; 16.469 ;-27,9%
Franklin Resources, Inc.;NYSE:BEN;USD;10196,78;5566,5;(1.25%);(9.53%);(20.75%);(24.66%);20,59;12.95x;1.02x;Asset Management and Custody Banks; 12.968 ; 10.197 ;-21,4%
Freeport-McMoRan Inc.;NYSE:FCX;USD;30873,45;13614;0.66%;19.92%;61.97%;92.66%;21,25;NM;3.32x;Copper; 19.036 ; 30.873 ;62,2%
Garmin Ltd.;NasdaqGS:GRMN;USD;21894,78;3937,4;0.18%;16.36%;17.35%;18.18%;114,49;21.49x;4.28x;Consumer Electronics; 18.546 ; 21.895 ;18,1%
Gartner, Inc.;NYSE:IT;USD;13621,61;4190,14;0.19%;19.30%;(1.00%);(3.41%);152,56;64.33x;13.12x;IT Consulting and Other Services; 13.785 ; 13.622 ;-1,2%
General Dynamics Corporation;NYSE:GD;USD;42477,61;38217;(1.09%);8.60%;(15.87%);(19.51%);148,36;13.44x;2.92x;Aerospace and Defense; 50.898 ; 42.478 ;-16,5%
General Electric Company;NYSE:GE;USD;85496,36;83928;1.04%;33.33%;(12.54%);(14.31%);9,76;25.03x;2.54x;Industrial Conglomerates; 97.466 ; 85.496 ;-12,3%
General Mills, Inc.;NYSE:GIS;USD;37511,45;17988,1;(1.03%);0.64%;14.56%;15.40%;61,36;16.40x;4.49x;Packaged Foods and Meats; 32.394 ; 37.511 ;15,8%
General Motors Company;NYSE:GM;USD;61603,48;115793;0.51%;20.32%;17.60%;22.00%;43,04;19.30x;1.38x;Automobile Manufacturers; 52.293 ; 61.603 ;17,8%
Genuine Parts Company;NYSE:GPC;USD;13987,86;18435,8;(1.06%);(4.96%);(8.73%);(6.15%);96,96;NM;4.69x;Distributors; 15.434 ; 13.988 ;-9,4%
Gilead Sciences, Inc.;NasdaqGS:GILD;USD;75349,58;23147;(0.86%);(0.17%);(7.49%);(7.35%);60,11;59.71x;4.35x;Biotechnology; 82.209 ; 75.350 ;-8,3%
Global Payments Inc.;NYSE:GPN;USD;57083,62;7481,13;0.08%;9.60%;4.46%;5.65%;190,7;113.96x;2.06x;Data Processing and Outsourced Services; 54.868 ; 57.084 ;4,0%
Globe Life Inc.;NYSE:GL;USD;9763,92;4645,56;(0.06%);10.89%;(11.36%);(6.79%);93,29;14.15x;1.19x;Life and Health Insurance; 11.397 ; 9.764 ;-14,3%
Halliburton Company;NYSE:HAL;USD;14055,71;16399;(0.63%);25.49%;(35.02%);(22.55%);15,9;NM;2.72x;Oil and Gas Equipment and Services; 21.480 ; 14.056 ;-34,6%
Hanesbrands Inc.;NYSE:HBI;USD;4747,66;6614,51;0.52%;(21.03%);(8.22%);(9.50%);13,63;11.11x;4.11x;Apparel, Accessories and Luxury Goods; 5.371 ; 4.748 ;-11,6%
Hasbro, Inc.;NasdaqGS:HAS;USD;12746,59;5170,48;1.38%;6.98%;(11.92%);(1.99%);93,02;32.98x;4.53x;Leisure Products; 14.452 ; 12.747 ;-11,8%
HCA Healthcare, Inc.;NYSE:HCA;USD;49856,13;50763;(2.33%);8.35%;(0.32%);5.42%;147,34;14.90x;NM;Health Care Facilities; 50.134 ; 49.856 ;-0,6%
Healthpeak Properties, Inc.;NYSE:PEAK;USD;16457,68;2303,02;(0.10%);11.53%;(11.31%);(12.88%);30,57;51.91x;2.41x;Health Care REITs; 17.061 ; 16.458 ;-3,5%
Henry Schein, Inc.;NasdaqGS:HSIC;USD;9077,71;9622,36;0.13%;(0.06%);(4.71%);(6.98%);63,58;15.54x;2.87x;Health Care Distributors; 9.791 ; 9.078 ;-7,3%
Hess Corporation;NYSE:HES;USD;14197,65;4885;(1.13%);25.14%;(30.34%);(30.67%);46,54;NM;2.43x;Oil and Gas Exploration and Production; 20.165 ; 14.198 ;-29,6%
Hewlett Packard Enterprise Company;NYSE:HPE;USD;13468,44;26989;(0.19%);12.34%;(33.98%);(38.84%);10,47;NM;0.84x;Technology Hardware, Storage and Peripherals; 20.506 ; 13.468 ;-34,3%
Hilton Worldwide Holdings Inc.;NYSE:HLT;USD;28232,94;2162;(1.01%);14.38%;(8.25%);2.52%;101,76;NM;NM;Hotels, Resorts and Cruise Lines; 31.295 ; 28.233 ;-9,8%
HollyFrontier Corporation;NYSE:HFC;USD;3565,77;12664,76;(3.19%);15.67%;(56.32%);(57.70%);22,15;NM;0.69x;Oil and Gas Refining and Marketing; 8.124 ; 3.566 ;-56,1%
Hologic, Inc.;NasdaqGS:HOLX;USD;17731,1;3776,4;(1.46%);4.77%;32.14%;40.25%;68,99;16.39x;6.66x;Health Care Equipment; 13.828 ; 17.731 ;28,2%
Honeywell International Inc.;NYSE:HON;USD;141740,53;33233;(0.36%);16.85%;14.12%;13.98%;202;28.95x;7.87x;Industrial Conglomerates; 126.472 ; 141.741 ;12,1%
Hormel Foods Corporation;NYSE:HRL;USD;27050,55;9689,87;0.28%;1.75%;11.13%;16.99%;50,13;29.49x;4.30x;Packaged Foods and Meats; 24.122 ; 27.051 ;12,1%
Host Hotels & Resorts, Inc.;NasdaqGS:HST;USD;9980,43;2662;(2.08%);28.17%;(23.72%);(16.02%);14,15;NM;1.59x;Hotel and Resort REITs; 13.304 ; 9.980 ;-25,0%
Howmet Aerospace Inc.;NYSE:HWM;USD;10384,81;12849;1.61%;32.03%;(22.16%);(22.32%);23,95;18.86x;2.97x;Aerospace and Defense; 13.322 ; 10.385 ;-22,0%
HP Inc.;NYSE:HPQ;USD;28088,01;56788;(0.24%);6.40%;(0.49%);3.81%;20,45;11.58x;NM;Technology Hardware, Storage and Peripherals; 29.863 ; 28.088 ;-5,9%
Humana Inc.;NYSE:HUM;USD;53758,42;74388;(0.24%);(7.09%);10.83%;20.26%;406,21;13.02x;3.42x;Managed Health Care; 48.537 ; 53.758 ;10,8%
Huntington Bancshares Incorporated;NasdaqGS:HBAN;USD;11953,4;3719;(1.67%);21.26%;(22.08%);(19.85%);11,75;16.52x;1.13x;Regional Banks; 15.574 ; 11.953 ;-23,2%
Huntington Ingalls Industries, Inc.;NYSE:HII;USD;6427,8;9016;(2.14%);6.17%;(36.73%);(37.57%);158,74;10.89x;3.49x;Aerospace and Defense; 10.261 ; 6.428 ;-37,4%
IDEX Corporation;NYSE:IEX;USD;14684,65;2342,82;(1.07%);1.85%;12.77%;19.73%;193,97;39.58x;6.19x;Industrial Machinery; 13.082 ; 14.685 ;12,2%
IDEXX Laboratories, Inc.;NasdaqGS:IDXX;USD;39603,89;2591,16;1.55%;10.62%;77.80%;78.23%;464,29;80.94x;88.52x;Health Care Equipment; 22.400 ; 39.604 ;76,8%
IHS Markit Ltd.;NYSE:INFO;USD;36724,68;4301;(0.28%);12.62%;22.35%;28.02%;92,19;40.27x;4.29x;Research and Consulting Services; 30.214 ; 36.725 ;21,5%
Illinois Tool Works Inc.;NYSE:ITW;USD;64519,49;12568;(1.47%);0.59%;13.48%;18.21%;203,84;30.91x;24.29x;Industrial Machinery; 57.734 ; 64.519 ;11,8%
Illumina, Inc.;NasdaqGS:ILMN;USD;43916,8;3238;0.60%;(5.36%);(9.33%);(4.48%);300,8;69.73x;9.29x;Life Sciences Tools and Services; 48.766 ; 43.917 ;-9,9%
Incyte Corporation;NasdaqGS:INCY;USD;17942,35;2456,58;0.29%;(7.53%);(6.17%);(7.84%);81,93;NM;7.48x;Biotechnology; 18.808 ; 17.942 ;-4,6%
Ingersoll Rand Inc.;NYSE:IR;USD;18485,44;4005,3;0.14%;18.79%;20.67%;31.80%;44,26;NM;2.10x;Industrial Machinery; 7.506 ; 18.485 ;146,3%
Intel Corporation;NasdaqGS:INTC;USD;186008,22;78098;(0.50%);(15.16%);(24.16%);(21.61%);45,39;8.88x;2.51x;Semiconductors; 260.348 ; 186.008 ;-28,6%
Intercontinental Exchange, Inc.;NYSE:ICE;USD;56723,34;5663;0.16%;1.60%;9.20%;6.96%;101,06;27.86x;2.98x;Financial Exchanges and Data; 51.536 ; 56.723 ;10,1%
International Business Machines Corporation;NYSE:IBM;USD;104200,22;75030;(0.20%);1.63%;(12.76%);(12.21%);116,94;13.25x;4.92x;IT Consulting and Other Services; 118.711 ; 104.200 ;-12,2%
International Flavors & Fragrances Inc.;NYSE:IFF;USD;11982,95;5097,94;0.10%;1.46%;(13.15%);(17.84%);112,06;33.53x;1.97x;Specialty Chemicals; 13.776 ; 11.983 ;-13,0%
International Paper Company;NYSE:IP;USD;19430,71;20839;0.41%;6.35%;7.34%;9.26%;49,43;39.62x;2.73x;Paper Packaging; 18.057 ; 19.431 ;7,6%
Intuit Inc.;NasdaqGS:INTU;USD;91352,25;7837;(3.80%);4.48%;32.74%;27.14%;347,69;46.70x;-;Application Software; 68.182 ; 91.352 ;34,0%
Intuitive Surgical, Inc.;NasdaqGS:ISRG;USD;85902,49;4307;(0.44%);0.31%;23.61%;27.63%;730,74;83.24x;9.32x;Health Care Equipment; 68.321 ; 85.902 ;25,7%
Invesco Ltd.;NYSE:IVZ;USD;7220,75;6258,3;(1.50%);13.75%;(12.57%);(8.55%);15,72;14.75x;0.74x;Asset Management and Custody Banks; 8.161 ; 7.221 ;-11,5%
IPG Photonics Corporation;NasdaqGS:IPGP;USD;10699,04;1170,72;(0.13%);4.71%;38.51%;46.37%;200,73;102.02x;4.33x;Electronic Manufacturing Services; 7.691 ; 10.699 ;39,1%
IQVIA Holdings Inc.;NYSE:IQV;USD;32549,29;10956;0.13%;0.31%;9.88%;19.25%;169,77;187.42x;5.56x;Life Sciences Tools and Services; 29.981 ; 32.549 ;8,6%
Iron Mountain Incorporated;NYSE:IRM;USD;7403,12;4167,21;(0.39%);(6.17%);(19.39%);(24.60%);25,69;55.83x;7.93x;Specialized REITs; 9.151 ; 7.403 ;-19,1%
J.B. Hunt Transport Services, Inc.;NasdaqGS:JBHT;USD;14144,07;9349,25;0.04%;6.94%;14.61%;15.99%;133,84;28.77x;5.68x;Trucking; 12.446 ; 14.144 ;13,6%
Jack Henry & Associates, Inc.;NasdaqGS:JKHY;USD;12223,56;1710,86;(0.84%);0.74%;9.95%;6.53%;160,17;41.18x;7.98x;Data Processing and Outsourced Services; 11.207 ; 12.224 ;9,1%
Jacobs Engineering Group Inc.;NYSE:J;USD;13515,59;13440,15;(1.28%);6.29%;15.55%;10.12%;103,8;45.52x;2.35x;Construction and Engineering; 11.970 ; 13.516 ;12,9%
Johnson & Johnson;NYSE:JNJ;USD;385298,95;80856;(0.53%);1.69%;0.34%;7.67%;146,36;23.01x;6.01x;Pharmaceuticals; 383.911 ; 385.299 ;0,4%
Johnson Controls International plc;NYSE:JCI;USD;32785,78;22317;(0.92%);3.59%;11.25%;6.79%;45,29;53.92x;1.90x;Building Products; 31.404 ; 32.786 ;4,4%
JPMorgan Chase & Co.;NYSE:JPM;USD;349232,62;98035;(0.86%);15.30%;(17.81%);(11.62%);114,57;14.94x;1.46x;Diversified Banks; 437.160 ; 349.233 ;-20,1%
Juniper Networks, Inc.;NYSE:JNPR;USD;7132,2;4430,6;(1.41%);(1.01%);(12.18%);(15.38%);21,63;18.33x;1.58x;Communications Equipment; 8.244 ; 7.132 ;-13,5%
Kansas City Southern;NYSE:KSU;USD;17639,21;2668,7;(0.32%);3.50%;23.04%;23.98%;188,45;31.24x;3.97x;Railroads; 15.181 ; 17.639 ;16,2%
Kellogg Company;NYSE:K;USD;22344,78;13529;(0.31%);(1.46%);(6.00%);(0.57%);65,01;18.83x;7.36x;Packaged Foods and Meats; 23.590 ; 22.345 ;-5,3%
KeyCorp;NYSE:KEY;USD;14969,32;5369;(1.86%);23.43%;(24.26%);(19.65%);15,33;13.41x;0.96x;Regional Banks; 19.936 ; 14.969 ;-24,9%
